yyyymm,Mkt_RF,SMB,HML,RMW,CMA,RF,LID,MOM,R_MKT,R_ME,R_IA,R_ROE,R_EG,PEAD,FIN,SMB_SY,MGMT,PERF,HML_Novy,UMD_Novy,PMU_Novy
200208,0.5,-1.3,3.29,1.36,-1.46,0.14,0.362613,1.9,0.4937,0.0007,-0.8574,2.5491,-1.7192,0.15,1.43,2.3064649,0.5071016,1.28535,-0.000384459,0.018221059,0.011148496
200209,-10.35,3.07,1.47,3.29,-2.19,0.14,0.121132,9.13,-10.3257,3.12,-2.1364,4.4049,1.1299,2.28,1.79,4.6503679,-0.5859379,5.8235305,-0.019764395,0.06753081,0.020945428
200210,7.84,-4.3,-3.94,-3.4,0.77,0.14,4.11507,-5.58,7.8301,-5.1206,0.2843,-4.5614,1.5123,-3.63,-5.13,-3.0045514,0.5410625,0.2811623,-0.02748429,-0.035561579,0.014777908
200211,5.96,2.93,-1.21,-9.21,5.17,0.12,1.739002,-16.33,5.9526,1.496,3.2719,-11.1725,-3.1022,0.86,-9.99,0.0562236,1.2744334,-9.22034,-0.010997619,-0.104759757,-0.02564977
200212,-5.76,0.62,2.14,6.29,-1.68,0.11,-1.139892,9.64,-5.7527,0.0671,-2.2589,5.3188,2.2776,-1.77,7.36,2.2847858,-0.2190628,4.908054,0.026528776,0.062080249,0.023708714
200301,-2.57,0.72,-0.81,-1,0.71,0.1,-2.109548,1.55,-2.5618,-0.9824,0.6982,-0.589,0.7808,2.01,-0.46,0.4103756,1.9839583,1.2029197,0.002414378,0.008214635,0.006110499
200302,-1.88,-0.93,-1.38,0.83,-0.61,0.09,1.062062,1.17,-1.8826,-2.0245,-0.1272,0.8778,1.3997,-0.38,0.86,0.0351697,1.6752683,1.2396502,-0.001102665,0.01775865,0.006370261
200303,1.09,0.67,-1.91,1.85,-0.75,0.1,0.069123,1.48,1.0908,1.4039,-0.1257,3.4092,-0.9347,2.25,-2.59,1.5185935,-1.1851198,2.4880393,-0.004183097,0.012996227,0.003680762
200304,8.22,1.04,1.17,-4.7,1.09,0.1,3.763324,-9.33,8.1807,2.3547,1.0369,-4.4513,-2.9391,-2.3,-4.64,0.0825313,0.0604516,-6.7367559,0.013611888,-0.065335028,-0.015489248
200305,6.05,4.87,0.5,-7.06,2.99,0.09,0.803146,-10.7,6.0466,3.8174,1.848,-8.2331,-1.6245,-0.37,-5.94,2.0576177,-2.3816489,-5.2971104,0.005465572,-0.074262483,-0.029048005
200306,1.42,1.68,0.15,0.48,-0.35,0.1,-0.873393,-1,1.4214,2.221,-1.0629,1.0948,-0.1291,0.56,0.33,1.8958496,-1.9198312,1.3163621,0.019968414,-0.001902576,0.002923135
200307,2.35,4.54,-1.24,-4.15,1.77,0.07,6.835237,-0.24,2.3359,4.3762,2.3405,-1.7422,-0.8789,0.94,-2.97,4.486696,1.2521066,-1.6009896,-0.010545464,-0.008015931,0.003148653
200308,2.34,2.48,1.54,-2.24,2.13,0.07,4.069019,-0.62,2.3282,2.2397,2.3621,-1.2384,-1.6327,0.74,-2.97,1.9272882,-2.1367494,1.8634377,0.006769709,-0.003311907,-0.005100096
200309,-1.24,0.55,0.15,1,0.35,0.08,-0.805405,-0.19,-1.2402,0.6889,0.2279,1.2631,2.3261,-0.71,2.26,-0.1304697,2.5060672,-2.2197677,0.015478518,0.000639726,-0.009699382
200310,6.08,2.71,1.97,-1.35,1.54,0.07,2.084509,3.99,6.0782,3.0474,1.031,-1.7507,-0.5642,3.71,-1.05,2.6532184,0.00564,1.1246213,0.008377655,0.029113653,0.011660502
200311,1.35,2.33,1.78,0.19,1.8,0.07,0.454893,1.46,1.3469,2.1957,2.3052,0.7767,0.5379,2.53,2.77,1.8315268,0.7414967,0.2278522,0.016026699,0.010051217,0.007854812
200312,4.29,-2.49,1.61,0.57,0.94,0.08,-0.325508,-5.57,4.283,-2.7811,0.774,-1.7394,-1.3486,-1.63,0.6,-1.822537,-0.6095739,-5.1237096,0.017429053,-0.02120739,-0.0128641
200401,2.15,2.45,2.48,-3.67,3.38,0.07,-5.251406,2.58,2.1525,3.1121,2.0585,-2.4364,0.837,-1.07,-2.37,2.5420751,1.4050014,-1.4992531,0.006943744,0.011785466,-0.009185951
200402,1.4,-0.93,0.91,2.18,-1.21,0.06,2.833066,-1.14,1.3997,-0.3075,-0.8855,2.1354,-0.0152,-0.4,2.92,-0.8870475,-1.1842429,-1.5520007,-0.002611593,-0.002281321,0.004362739
200403,-1.32,2.1,0.28,1.56,-0.98,0.09,1.719833,0.17,-1.3163,2.5218,-0.7352,1.7567,-1.0578,1.24,-0.68,1.6989095,-1.5236307,0.7093203,-0.002088187,-0.000165579,0.007360117
200404,-1.83,-2.01,-3.09,3.46,-2.84,0.08,-0.343125,-5.38,-1.8184,-3.2185,-2.9001,0.0193,1.427,0.98,5.26,-2.7976848,-2.3659239,-0.4240986,-0.007810886,-0.023002,0.004086653
200405,1.17,-0.38,-0.24,-1.18,0.02,0.06,-0.197162,1.5,1.1742,-0.3819,0.551,1.068,-0.2178,0.16,-3.53,1.1373791,0.3030436,0.9859297,-0.003991266,0.011657269,0.007288937
200406,1.86,2.56,1.19,1.2,-0.39,0.08,2.778716,2.05,1.8607,2.2399,-0.2618,0.5621,0.6322,2.6,1.17,2.7202775,0.8952822,1.6950021,0.000806903,0.01006928,0.009760726
200407,-4.06,-2.95,3.23,5.33,-1.66,0.1,7.163805,-2.29,-4.0549,-3.3502,-0.9772,2.4066,3.0646,1.55,4.72,-3.296997,2.273422,-1.2302229,0.014695832,-0.008667381,0.008286252
200408,0.08,-1.16,1,1.18,-1.44,0.11,6.458801,-1.59,0.0745,-1.5163,-1.1996,-1.2272,0.176,0.42,1.37,-1.6504403,0.6487581,-4.6368288,0.006346094,-0.002292184,-0.009712442
200409,1.6,3.27,-0.01,-1.48,-1.89,0.11,-0.164037,5.49,1.5958,3.7951,-2.2121,-0.2123,-1.6176,1.2,-2.31,3.6175609,-2.6785935,3.3330181,0.002010178,0.028378534,0.001591965
200410,1.43,0.19,-0.22,-0.52,0.49,0.11,-1.53671,-1.38,1.4237,-0.7841,0.584,-1.4399,0.0033,-0.4,-0.69,0.5206152,1.3017356,-0.8756816,0.006356414,0.001182943,0.000415589
200411,4.54,4.11,1.42,-0.59,-0.21,0.15,1.394736,3.16,4.5362,4.4728,-0.4263,-1.1342,-1.6565,-1.13,-0.27,3.6653674,-1.2661103,0.00137,0.007795647,0.017007332,-0.005624047
200412,3.43,-0.05,-0.22,-1.16,0.46,0.16,-3.471279,-2.87,3.4131,-0.041,0.3018,-0.8597,-1.1293,0.32,0.64,-1.0167712,-0.7979013,-1.7346167,0.003561459,-0.015912298,0.002101052
